SQ_CANDIDATO;NM_CANDIDATO;NM_PARTIDO;SG_UF;QT_VOTOS_NOMINAIS_VALIDOS;VR_BEM_CANDIDATO;VR_DESPESA_CONTRATADA
170001618273;WELLINGTON DUARTE CARNEIRO;PARTIDO TRABALHISTA BRASILEIRO;PE;8020;337361.0;514052.85
170001715331;JOAO ARNALDO NOVAES JUNIOR;PARTIDO SOCIALISMO E LIBERDADE;PE;12558;390000.0;590642.42
170001715590;JONES MANOEL DA SILVA;PARTIDO COMUNISTA BRASILEIRO;PE;33931;31252.120000000003;48026.11
180001600497;SILVIO MENDES DE OLIVEIRA FILHO;UNIAO BRASIL;PI;811806;1936413.26;6890407.13
180001604027;RAFAEL TAJRA FONTELES;PARTIDO DOS TRABALHADORES;PI;1115139;1649200.0;6569595.8
180001613545;GERALDO DO NASCIMENTO CARVALHO;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PI;1425;200590.0;30218.0
180001643494;GUSTAVO HENRIQUE LEITE FEIJO;PATRIOTA;PI;1027;;32098.9
180001645030;MARIA MADALENA NUNES;PARTIDO SOCIALISMO E LIBERDADE;PI;4759;520000.0;220051.73
180001713460;MARIA DE LOURDES SOARES MELO;PARTIDO DA CAUSA OPERARIA;PI;0;100000.0;0.0
180001713732;RAVENNA DE CASTRO LIMA AZEVEDO;PARTIDO DA MOBILIZACAO NACIONAL;PI;1167;90000.0;449998.75
180001718004;GESSY KARLA LIMA BORGES FONSECA;PARTIDO SOCIAL CRISTAO;PI;0;284236.49;263140.0
190001600399;PAULO GUSTAVO GANIME ALVES TEIXEIRA;PARTIDO NOVO;RJ;446580;212995.22;1190855.24
190001609389;MARCELO RIBEIRO FREIXO;PARTIDO SOCIALISTA BRASILEIRO;RJ;2300980;78916.0;11318862.48
190001609712;JULIETE PANTOJA ALVES;UNIDADE POPULAR;RJ;27344;203.99;12689.4
190001614665;RODRIGO NEVES BARRETO;PARTIDO DEMOCRATICO TRABALHISTA;RJ;672291;873800.0;13593622.43
190001615753;CLAUDIO BOMFIM DE CASTRO E SILVA;PARTIDO LIBERAL;RJ;4930288;194017.73;18102156.67
190001639537;CYRO GARCIA;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;RJ;12627;164760.0;171220.38
190001723484;EDUARDO GONCALVES SERRA;PARTIDO COMUNISTA BRASILEIRO;RJ;10852;415000.0;95614.4
200001608705;JOSE NAZARENO EDSON DA SILVA;PARTIDO DA MOBILIZACAO NACIONAL;RN;1325;;0.0
200001608810;MARIA DE FATIMA BEZERRA;PARTIDO DOS TRABALHADORES;RN;1066496;978641.19;7087050.45
200001613165;CLORISA LINHARES DE VASCONCELOS VALE;PARTIDO DA MULHER BRASILEIRA;RN;39011;1797.79;89223.7
200001613178;FABIO BERCKMANS VERAS DANTAS;SOLIDARIEDADE;RN;406461;1257069.75;950619.0
200001651786;ROSALIA MARIA FERNANDES;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;RN;2437;210000.0;29385.800000000003
200001668305;ANTONIO BENTO DA SILVA;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;RN;1178;60000.0;0.0
200001695666;KARLO RODRIGO LUCIO VIEIRA;DEMOCRACIA CRISTA;RN;1045;0.0;116146.4
200001696301;EANN STYVENSON VALENTIM MENDES;PODEMOS;RN;307330;137912.72;2500.0
200001712602;DANNIEL ALEXANDRE FERREIRA DE MORAIS;PARTIDO SOCIALISMO E LIBERDADE;RN;3691;160000.0;213033.0
210001604469;JOAO EDEGAR PRETTO;PARTIDO DOS TRABALHADORES;RS;1700374;666471.79;5263893.09
210001604536;VICENTE JOAQUIM BOGO;PARTIDO SOCIALISTA BRASILEIRO;RS;17222;300000.0;496148.9
210001605930;REJANE SILVA DE OLIVEIRA;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;RS;6252;520000.0;50072.5
210001606124;RICARDO MUNARSKI JOBIM;PARTIDO NOVO;RS;38887;7184192.0;300706.18
210001609847;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;RS;1702815;281374.54000000004;
210001609934;ONYX DORNELLES LORENZONI;PARTIDO LIBERAL;RS;2382026;981785.47;
210001609945;ROBERTO ARGENTA;PARTIDO SOCIAL CRISTAO;RS;126899;372943176.46000004;6571402.63
210001615206;CARLOS EDUARDO VIEIRA DA CUNHA;PARTIDO DEMOCRATICO TRABALHISTA;RS;101611;1092160.76;5254726.05
210001619618;LUIS CARLOS HEINZE;PROGRESSISTAS;RS;271540;8259413.6;5946114.12
210001697029;CARLOS MESSALLA LIMA DA ROSA;PARTIDO COMUNISTA BRASILEIRO;RS;4003;112.0;8225.0
220001609511;MARCOS JOSE ROCHA DOS SANTOS;UNIAO BRASIL;RO;330656;1010000.0;
220001635569;NASCIMENTO ANTONIO DA SILVA;PARTIDO SOCIALISMO E LIBERDADE;RO;3660;120000.0;305148.26
220001647595;MARCOS ROGERIO DA SILVA BRITO;PARTIDO LIBERAL;RO;315035;2327000.0;
220001719268;LEONARDO BARRETO DE MORAES;PODEMOS;RO;119583;1983172.03;5997810.91
220001723308;DANIEL PEREIRA;SOLIDARIEDADE;RO;81421;6600000.0;90000.0
230001602186;MARIA TERESA SAENZ SURITA GUIMARAES;MOVIMENTO DEMOCRATICO BRASILEIRO;RR;118856;922231.43;3520286.07
230001604255;ANTONIO OLIVERIO GARCIA DE ALMEIDA;PROGRESSISTAS;RR;163167;21552758.13;3341687.08
230001610641;FABIO GONCALVES DE ALMEIDA;PARTIDO SOCIALISMO E LIBERDADE;RR;3843;26000.0;213245.5
230001610816;RUDSON LEITE DA SILVA;PARTIDO VERDE;RR;1189;1200000.0;154629.9
230001670967;JURACI FRANCISCO DOS SANTOS;PARTIDO DEMOCRATICO TRABALHISTA;RR;1878;2250000.0;1557284.38
240001605909;ODAIR TRAMONTIN;PARTIDO NOVO;SC;114087;6851916.640000001;525824.89
240001610772;CARLOS MOISES DA SILVA;REPUBLICANOS;SC;693426;2030648.1600000001;8031728.8
240001610793;ALEX BORGES ALANO;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;SC;4395;301480.0;18017.69
240001611127;JORGINHO DOS SANTOS MELLO;PARTIDO LIBERAL;SC;1575912;2414260.41;
240001611133;GEAN MARQUES LOUREIRO;UNIAO BRASIL;SC;555615;3218093.0;4424343.6899999995
240001611148;RALF GUIMARAES ZIMMER JUNIOR;PARTIDO REPUBLICANO DA ORDEM SOCIAL;SC;3828;1768000.0;870000.0
240001645017;JORGE CATARINO LEONARDELI BOEIRA;PARTIDO DEMOCRATICO TRABALHISTA;SC;24809;7477409.4;634226.4
240001647445;DECIO NERY DE LIMA;PARTIDO DOS TRABALHADORES;SC;710859;1490980.55;
240001679805;ESPERIDIAO AMIN HELOU FILHO;PROGRESSISTAS;SC;398092;2894850.75;5402956.96
240001679858;LEANDRO BRUGNAGO BORGES;PARTIDO DA CAUSA OPERARIA;SC;0;14000.0;0.0
250001597898;VINICIUS LAZZER POIT;PARTIDO NOVO;SP;388974;2973585.7199999997;1279445.69
250001601996;CAROLINA REJAILI VIGLIAR;UNIDADE POPULAR;SP;88767;205000.0;0.0
250001609938;ALTINO DE MELO PRAZERES JUNIOR;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;SP;14859;192500.0;325009.8
250001612450;RODRIGO GARCIA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SP;4296293;5678790.19;29566069.48
250001612465;FERNANDO HADDAD;PARTIDO DOS TRABALHADORES;SP;8337139;595059.29;
250001615967;TARCISIO GOMES DE FREITAS;REPUBLICANOS;SP;9881995;2342161.77;
250001638553;GABRIEL MAURILIO COLOMBO DE FREITAS;PARTIDO COMUNISTA BRASILEIRO;SP;46727;;117747.61
250001639534;ELVIS LEONARDO CEZAR;PARTIDO DEMOCRATICO TRABALHISTA;SP;281712;2181579.58;7014870.87
250001652196;EDSON DORTA SILVA;PARTIDO DA CAUSA OPERARIA;SP;5305;14000.0;0.0
250001693024;ANTONIO JORGE FILHO;DEMOCRACIA CRISTA;SP;10778;350000.0;42518.5
260001600202;ALESSANDRO VIEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SE;82495;900000.0;6262224.09
260001612779;FABIO CRUZ MITIDIERI;PARTIDO SOCIAL DEMOCRATICO;SE;294936;1248575.87;
260001617899;AROLDO FELIX DE AZEVEDO JUNIOR;UNIDADE POPULAR;SE;1044;679428.21;5000.0
260001634213;ANTONIO CLAUDIO SANTOS DAS NEVES;DEMOCRACIA CRISTA;SE;2655;509000.0;104199.99
260001635961;NIULLY NAYARA SANTANA CAMPOS;PARTIDO SOCIALISMO E LIBERDADE;SE;37366;230000.0;213285.91999999998
260001666399;ROGERIO CARVALHO SANTOS;PARTIDO DOS TRABALHADORES;SE;338796;485000.0;
260001690862;ELINOS SABINO DOS SANTOS;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;SE;646;19000.0;4570.0
270001621506;KAROLINE SOARES CHAVES;PARTIDO SOCIALISMO E LIBERDADE;TO;2494;66000.0;213091.4
270001644066;CARMEN HANNUD CARBALLEDA ADSUARA;PARTIDO DA CAUSA OPERARIA;TO;0;108342.92;0.0
270001649556;RONALDO DIMAS NOGUEIRA PEREIRA;PARTIDO LIBERAL;TO;186361;548208.9;6405919.66
270001651884;PAULO SARDINHA MOURAO;PARTIDO DOS TRABALHADORES;TO;88143;6686462.390000001;2136880.28
270001652198;WANDERLEI BARBOSA CASTRO;REPUBLICANOS;TO;481496;2200646.94;6161543.35
270001676047;RICARDO IGNACIO DE MACEDO;PARTIDO DA MULHER BRASILEIRA;TO;5043;905000.0;23951.0
270001697127;IRAJA SILVESTRE FILHO;PARTIDO SOCIAL DEMOCRATICO;TO;63048;2051587.15;6804544.35
270001697141;LUCIANO DE CASTRO TEIXEIRA;DEMOCRACIA CRISTA;TO;1232;3856900.0;78713.6
